2013-02-22 17:44:36,607 - pmlib_server.Server - ERROR - Error en accept
2013-02-22 17:44:36,607 - pmlib_server.Server - ERROR - Error in self.run() of Server class: [Errno 9] Bad file descriptor
2013-03-01 16:17:57,760 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40720)
2013-03-01 16:17:57,858 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40723)
2013-03-01 16:17:57,957 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40726)
2013-03-01 16:17:58,055 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40729)
2013-03-01 16:17:58,154 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40732)
2013-03-01 16:17:58,254 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40735)
2013-03-01 16:17:58,354 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40738)
2013-03-01 16:17:58,454 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40741)
2013-03-01 16:17:58,553 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40744)
2013-03-01 16:17:58,652 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40747)
2013-03-01 16:17:58,752 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40750)
2013-03-01 16:17:58,852 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40753)
2013-03-01 16:17:58,952 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40756)
2013-03-01 16:17:59,051 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40759)
2013-03-01 16:17:59,151 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40762)
2013-03-01 16:17:59,250 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40765)
2013-03-01 16:17:59,350 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40768)
2013-03-01 16:17:59,448 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40771)
2013-03-01 16:17:59,548 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40774)
2013-03-01 16:17:59,646 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40777)
2013-03-01 16:17:59,745 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40780)
2013-03-01 16:17:59,844 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40783)
2013-03-01 16:17:59,944 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40786)
2013-03-01 16:18:00,043 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40789)
2013-03-01 16:18:00,143 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40792)
2013-03-01 16:18:00,243 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40795)
2013-03-01 16:18:00,342 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40798)
2013-03-01 16:18:00,441 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40801)
2013-03-01 16:18:00,541 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40804)
2013-03-01 16:18:00,639 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40807)
2013-03-01 16:18:00,738 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40810)
2013-03-01 16:18:00,836 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40813)
2013-03-01 16:18:00,935 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40816)
2013-03-01 16:18:01,034 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40819)
2013-03-01 16:18:01,134 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40822)
2013-03-01 16:18:01,233 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40825)
2013-03-01 16:18:01,333 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40828)
2013-03-01 16:18:01,432 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40831)
2013-03-01 16:18:01,531 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40834)
2013-03-01 16:18:01,654 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40837)
2013-03-01 16:18:01,752 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40840)
2013-03-01 16:18:01,852 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40843)
2013-03-01 16:18:01,952 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40846)
2013-03-01 16:18:02,051 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40849)
2013-03-01 16:18:02,150 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40852)
2013-03-01 16:18:02,249 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40855)
2013-03-01 16:18:02,348 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40858)
2013-03-01 16:18:02,448 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40861)
2013-03-01 16:18:02,547 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40864)
2013-03-01 16:18:02,646 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40867)
2013-03-01 16:18:02,745 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40870)
2013-03-01 16:18:02,844 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40873)
2013-03-01 16:18:02,943 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40876)
2013-03-01 16:18:03,042 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40879)
2013-03-01 16:18:03,140 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40882)
2013-03-01 16:18:03,241 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40885)
2013-03-01 16:18:03,341 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40888)
2013-03-01 16:18:03,440 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40891)
2013-03-01 16:18:03,539 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40894)
2013-03-01 16:18:03,638 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40897)
2013-03-01 16:18:03,738 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40900)
2013-03-01 16:18:03,836 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40903)
2013-03-01 16:18:03,936 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40906)
2013-03-01 16:18:04,035 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40909)
2013-03-01 16:18:04,135 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40912)
2013-03-01 16:18:04,235 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40915)
2013-03-01 16:18:04,334 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40918)
2013-03-01 16:18:04,433 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40921)
2013-03-01 16:18:04,532 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40924)
2013-03-01 16:18:04,631 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40927)
2013-03-01 16:18:04,729 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40930)
2013-03-01 16:18:04,828 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40933)
2013-03-01 16:18:04,928 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40936)
2013-03-01 16:18:05,026 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40939)
2013-03-01 16:18:05,125 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40942)
2013-03-01 16:18:05,224 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40945)
2013-03-01 16:18:05,324 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40948)
2013-03-01 16:18:05,423 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40951)
2013-03-01 16:18:05,523 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40954)
2013-03-01 16:18:05,622 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40957)
2013-03-01 16:18:05,722 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40960)
2013-03-01 16:18:05,822 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40963)
